,current_variable_name,new_variable_name,description
1,C4BLDL,Blood_LDL_Cholesterol_mg/dl,
2,C4BRTHDL,Blood_Ratio_Total/HDL_Cholesterol,
3,C4BSCREA,Blood_Creatinine_mg/dl,
4,C4BDHEAS,Blood_DHEAS_ug/dl,DHEAS is a male sex hormone that is found in both men and women. DHEAS plays an important role in making the male sex hormone testosterone and the female sex hormone estrogen.
5,C4BDHEA,Blood_DHEA_ng/dl,
6,C4BGLUC,Blood_Fasting_Glucose_levels_mg/dL,
7,C4BINSLN,Blood_Fasting_Insulin_levels_uIU/mL,
8,C4BIGF1,Blood_Fasting_IGF1_ng/mL,IGF1 (Insulin-like Growth Factor 1)
9,C4BMSDIL6,Blood_Serum_MSD_IL6_pg/mL,
10,C4BMSDIL8,Blood_Serum_MSD_IL8_pg/mL,
11,C4BMSDIL10,Blood_Serum_MSD_IL10_pg/mL,
12,C4BMSDTNFA,Blood_Serum_MSD_TNF_alpha_pg/mL,Measurement of Tumour Necrosis Factor alpha (TNF-¦Á) in peripheral blood is a useful tool to assess inflammatory responses in a large range of diseases.
13,C4BIL6,Blood_Serum_IL6_pg/mL,"Interleukin-6 (IL-6) test potentially useful as a marker of immune system activation, IL-6 can be elevated with inflammation, infection, autoimmune disorders, cardiovascular diseases, and some cancers."
14,C4BSIL6R,Blood_Serum_Soluble_IL6_Receptor_pg/mL,
15,C4BFGN,Blood_Fibrinogen_mg/dL,A fibrinogen test is a blood test to check your fibrinogen levels. Fibrinogen is a protein that helps with blood clotting.
16,C4BCRP,Blood_C-Reactive_Protein_ug/mL,"
Results equal to or greater than 8 mg/L or 10 mg/L are considered high. A high test result is a sign of inflammation."
17,C4BSESEL,Blood_Serum_soluble_E-Selectin_ng/mL,
18,C4BSICAM,Blood_Serum_Soluble_ICAM-1_ng/mL,
19,C4BLUT,Blood_Total_Lutein_umol/L,
20,C4BZX,Blood_Zeaxanthin_umol/L,
21,C4BBCX,Blood_beta-cryptoxanthin_umol/L,
22,C4B13CBC,Blood_13-cis-beta-carotene_umol/L,
23,C4BAC,Blood_alpha-carotene_umol/L,
24,C4BATBC,Blood_All_trans-beta-carotene_umol/L,
25,C4B13CLYC,Blood_13-cis-Lycopene_umol/L,
26,C4B9CLYC,Blood_9-cis-Lycopene_umol/L,
27,C4BTLYC,Blood_trans-Lycopene_umol/L,
28,C4BLYC,Blood_Total_Lycopene_umol/L,
29,C4BGTOC,Blood_gamma-tocopherol_umol/L,
30,C4BATOC,Blood_alpha-tocopherol_umol/L,
31,C4BRET,Blood_Retinol_umol/L,
32,C4BSNTX,Blood_n-Teleopeptide_type1_collagen_nM_BCE,
33,C4BSBAP,Blood_Bone_Specific_Alkaline_Phospatase_UL,
34,C4BP1NP,Blood-Amino_terminal_Propeptide_type1_Procollagen_ugL,
35,C4BHOMAIR,HOMA-IR,
44,C4BCORTL,Urine Cortisol (ug/dL),
45,C4BCORTO,Urine_Cortisone_ug/dL,
46,C4BUCREA,Urine_Creatinine_mg/dL,
47,C4BSUCRE,Ratio_Serum_Creatinine_and_Urine_Creatinine,
48,C4BGFR,Glomerular_Filtration_Rate_ml/min,
49,C4BCLCRE,Urine_Cortisol_adj_for_Urine_Creat_ug/g,
50,C4BCOCRE,Urine_Cortisone_adj_for_Urine_Creat_ug/g,
51,C4BNECL,Ratio_Urine_Norepinephrine_and_Cortisol,
Those could be deleted,,,
36,C4ZURINE,Biomarker_urine_sample_status,
37,C4BUPROB,Urine_collection_period_less_than_11hrs_or_greater_than_13hrs,
38,C4BUSTRT,Urine collect: Start time,
39,C4BUEND,Urine collect: End time,
40,C4BUVDYN,Any voids not collected?,
41,C4BUVDN,Number voids not collected,
42,C4BUVDEV,Estimated volume missed (if possible),
43,C4BURVOL,Urine Volume (ml),
